month,year,mother_time_pct,father_time_pct,mother_nights,notes
November,2020,100,0,30,
December,2020,87.1,12.9,27,
January,2021,87.1,12.9,27,
February,2021,89.3,10.7,25,
March,2021,87.1,12.9,27,
April,2021,86.7,13.3,26,
May,2021,87.1,12.9,27,
June,2021,86.7,13.3,26,
July,2021,87.1,12.9,27,
August,2021,100,0,31,
September,2021,83.3,16.7,25,
October,2021,100,0,31,
November,2021,83.3,16.7,25,
December,2021,96.8,3.2,30,
January,2022,96.8,3.2,30,Father moved to Florida
February,2022,100,0,28,
March,2022,100,0,31,
April 1-11,2022,,,COVID/GAL Ex-Parte Emergency Motion - no data
April 12-30,2022,45,0,13,
May,2022,6.5,0,2,
June,2022,13.3,0,4,
July,2022,0,0,0,
August,2022,0,0,0,
September,2022,1.1,0,0,8 hours only
October,2022,1.01,0,0,7.5 hours only
November,2022,1.1,0,0,8 hours only
December,2022,1.01,0,0,7.5 hours only
January,2023,0.94,0,0,7 hours only
February,2023,1.19,0,0,8 hours only
March,2023,1.08,0,0,8 hours only
April,2023,1.1,0,0,8 hours only
May,2023,1.1,0,0,8 hours only
